iter	MultiClass
499	0.0390968963
500	0.03903137823
501	0.03890228319
502	0.03883136974
503	0.03869484368
504	0.03858436238
505	0.03846780938
506	0.03833851452
507	0.03825803629
508	0.03815439261
509	0.03808695342
510	0.03800871521
511	0.03789653256
512	0.03778585136
513	0.03771801362
514	0.03762287608
515	0.03750069309
516	0.03740151785
517	0.03725666531
518	0.03718986779
519	0.03707219583
520	0.03697727841
521	0.03689575325
522	0.03678845467
523	0.03675121465
524	0.03665341528
525	0.03651796027
526	0.03644636855
527	0.03633968261
528	0.03622789482
529	0.03613537341
530	0.03604009557
531	0.03599399044
532	0.03587763713
533	0.03579491367
534	0.03568774921
535	0.03556601838
536	0.03546858795
537	0.03537634842
538	0.03529457301
539	0.03521083838
540	0.03517116451
541	0.03509457258
542	0.03498278708
543	0.03487404947
544	0.03480803244
545	0.03474491838
546	0.03464952051
547	0.03457410455
548	0.03447304062
549	0.03436230186
550	0.03428244166
551	0.0341943111
552	0.03410841305
553	0.03401577371
554	0.03391623399
555	0.03383570013
556	0.03374119056
557	0.03364989761
558	0.03352625484
559	0.03345564141
560	0.03335380004
561	0.03326538421
562	0.03317651824
563	0.03314731346
564	0.03312027047
565	0.03309903115
566	0.03299824591
567	0.03292993085
568	0.03285227494
569	0.03275851342
570	0.03266029586
571	0.03256804598
572	0.0325001966
573	0.03243118204
574	0.03234576056
575	0.03233234421
576	0.03226161859
577	0.03218458292
578	0.03212801685
579	0.03210431933
580	0.0320362249
581	0.03196712221
582	0.03188405568
583	0.03178832075
584	0.03171953059
585	0.03164379601
586	0.03162584507
587	0.03154528631
588	0.03144144511
589	0.03139410885
590	0.03133345708
591	0.0312534043
592	0.0311798964
593	0.03109797485
594	0.03105877793
595	0.03097953056
596	0.03090216303
597	0.03082886741
598	0.03074046402
599	0.03067300968
600	0.0305961099
601	0.03055260591
602	0.0304847947
603	0.03037698035
604	0.03030664665
605	0.03025985589
606	0.03018644251
607	0.030145917
608	0.03008853466
609	0.03001422725
610	0.02995962077
611	0.02987043308
612	0.02980890372
613	0.02973424991
614	0.02968478817
615	0.0296180952
616	0.02956341904
617	0.02949353671
618	0.0294273967
619	0.0293672027
620	0.02929690769
621	0.02925253333
622	0.02921995541
623	0.02916349099
624	0.02908494304
625	0.02900890678
626	0.02894585462
627	0.02888241848
628	0.02881189796
629	0.02875786403
630	0.02868448308
631	0.02861393998
632	0.02854533611
633	0.02848828877
634	0.02843602645
635	0.02838076419
636	0.02829385616
637	0.02822911349
638	0.02816831833
639	0.02811554956
640	0.02806960997
641	0.02800928608
642	0.02793524451
643	0.02785831097
644	0.02779987725
645	0.02773493245
646	0.02769096561
647	0.02762902709
648	0.02758388651
649	0.02753743828
650	0.02747380553
651	0.02743589862
652	0.02735997445
653	0.02728447111
654	0.02722231763
655	0.02715138399
656	0.02709031224
657	0.02706379416
658	0.02701688366
659	0.02695412223
660	0.02689673841
661	0.02685413908
662	0.02680260343
663	0.02675682528
664	0.02670058682
665	0.02665315083
666	0.02659969251
667	0.02654852455
668	0.02649725675
669	0.02646647845
670	0.02643361065
671	0.02638004963
672	0.02633621126
673	0.02631457607
674	0.026270179
675	0.02621301674
676	0.02617124531
677	0.02613334522
678	0.02607589859
679	0.02601931692
680	0.02596907878
681	0.02593042711
682	0.02590695825
683	0.02587269663
684	0.02581860827
685	0.02577155833
686	0.02571839024
687	0.02566234302
688	0.0256131787
689	0.02556415326
690	0.02551661155
691	0.02545976147
692	0.02541040575
693	0.02536995938
694	0.02533006376
695	0.02528473308
696	0.02522400345
697	0.0251771408
698	0.02514245374
699	0.02509752959
700	0.02506131317
701	0.02502250792
702	0.02497422646
703	0.02490961804
704	0.02483887098
705	0.02480108154
706	0.02476584754
707	0.02472615186
708	0.02469678927
709	0.0246558248
710	0.02462744804
711	0.02460331154
712	0.02459256563
713	0.02455739194
714	0.02454909834
715	0.02452273818
716	0.02448385703
717	0.02443051516
718	0.02440320199
719	0.02435132492
720	0.02430665155
721	0.02427058562
722	0.02423185634
723	0.0241917383
724	0.02417658805
725	0.02416309625
726	0.0241163851
727	0.02408631784
728	0.02404816435
729	0.0240041792
730	0.02397416395
731	0.02392940571
732	0.02389421973
733	0.0238578569
734	0.02381016898
735	0.02378555092
736	0.02373321967
737	0.0236950806
738	0.02367786796
739	0.02364922429
740	0.02360899444
741	0.02358291485
742	0.0235435676
743	0.02353431721
744	0.02349293833
745	0.02345948212
746	0.02342054903
747	0.02336032026
748	0.02331377411
749	0.02328069155
750	0.02324406523
751	0.02319042014
752	0.02315785924
753	0.02312962786
754	0.02310004012
755	0.02305654397
756	0.02301480081
757	0.02297879948
758	0.02292228026
759	0.02288242165
760	0.02285958887
761	0.02282261761
762	0.02279008179
763	0.02276342244
764	0.02274085686
765	0.02272842993
766	0.02268137929
767	0.02263701927
768	0.02260348034
769	0.02257934529
770	0.02253512508
771	0.02248996527
772	0.02246417786
773	0.02242467232
774	0.02238365413
775	0.02234176438
776	0.02230504239
777	0.02227157591
778	0.02222789335
779	0.02218780889
780	0.02214363334
781	0.02211535529
782	0.0220779867
783	0.02203452632
784	0.02201089266
785	0.02199002143
786	0.02195292807
787	0.02191028014
788	0.02189037886
789	0.0218508445
790	0.02181777242
791	0.02177657354
792	0.02175464301
793	0.02173359786
794	0.02168719881
795	0.0216489226
796	0.021621312
797	0.02159684479
798	0.02156718692
799	0.02154074036
800	0.02150300966
801	0.02146646106
802	0.02142899784
803	0.02139959016
804	0.02138023816
805	0.0213443856
806	0.02129686131
807	0.02125972442
808	0.02123053355
809	0.02119430214
810	0.02118774345
811	0.02118160343
812	0.02114454832
813	0.02110821993
814	0.02107224486
815	0.02104673085
816	0.02101242256
817	0.02096480984
818	0.02095262883
819	0.02092381751
820	0.02089442007
821	0.02086300686
822	0.02083376329
823	0.0207981062
824	0.02076614206
825	0.02072849093
826	0.02069968432
827	0.02066432831
828	0.02063408685
829	0.02061759723
830	0.02059058759
831	0.02056951777
832	0.02053849685
833	0.02051506339
834	0.02048096825
835	0.02045831771
836	0.02042505131
837	0.02039312629
838	0.02036332943
839	0.02034098909
840	0.02031294673
841	0.02026973077
842	0.02023351998
843	0.02019925277
844	0.02016888297
845	0.02015528369
846	0.02011924282
847	0.02009285023
848	0.02006333048
849	0.02002999048
850	0.02000241998
851	0.01997256462
852	0.0199259893
853	0.01989838249
854	0.019853136
855	0.0198161536
856	0.01978546593
857	0.0197557807
858	0.01972856585
859	0.01969016828
860	0.01968038906
861	0.01963800031
862	0.01961251873
863	0.01957918007
864	0.01954700145
865	0.01951187033
866	0.01948147248
867	0.01947011483
868	0.01943060978
869	0.01940284544
870	0.01938086833
871	0.01936797484
872	0.01933708706
873	0.01930046127
874	0.01926922466
875	0.01925752138
876	0.01923522907
877	0.01920554631
878	0.01917839875
879	0.01914815801
880	0.01911519119
881	0.0190973785
882	0.01908021979
883	0.01907222419
884	0.0190439354
885	0.01901118562
886	0.01900172808
887	0.01897249484
888	0.0189494303
889	0.01893062578
890	0.01890309935
891	0.01887508586
892	0.01884239375
893	0.01883346704
894	0.018806552
895	0.01876731862
896	0.01874082227
897	0.01871718648
898	0.0186991266
899	0.01868937209
900	0.01867432857
901	0.01864712662
902	0.01863455184
903	0.01862135347
904	0.01859196921
905	0.01856158823
906	0.01853481234
907	0.01850167976
908	0.01847830858
909	0.01844083637
910	0.01841743005
911	0.01839335637
912	0.01837222776
913	0.01834976351
914	0.01832060584
915	0.01829783833
916	0.01826666628
917	0.01824294432
918	0.01822654774
919	0.01820246433
920	0.01817883321
921	0.01816510685
922	0.01814629017
923	0.01811788821
924	0.01809750808
925	0.0180723581
926	0.01804505113
927	0.01801494606
928	0.01799464678
929	0.01797509427
930	0.01796253065
931	0.01794356766
932	0.01791547479
933	0.01788222162
934	0.01785894118
935	0.01783230623
936	0.0178006384
937	0.0177834102
938	0.0177564002
939	0.01772612722
940	0.01770341406
941	0.01768528129
942	0.01766005477
943	0.01764868411
944	0.01761567422
945	0.01758898766
946	0.01757983876
947	0.01754939717
948	0.01752212996
949	0.01750744659
950	0.01749009097
951	0.01746873001
952	0.01745513873
953	0.01743273826
954	0.0174200946
955	0.01739745615
956	0.0173786077
957	0.01735687638
958	0.01733036934
959	0.01731627191
960	0.01729072061
961	0.01726656327
962	0.01724280391
963	0.01722434754
964	0.01720382439
965	0.01718900145
966	0.01716904029
967	0.01714421069
968	0.01712407078
969	0.01710136129
970	0.01708365147
971	0.01705797176
972	0.01703391205
973	0.01701303946
974	0.01698990196
975	0.01696796924
976	0.01694349931
977	0.01692232103
978	0.01690961426
979	0.01689216432
980	0.0168699661
981	0.01684733454
982	0.01682353158
983	0.01680741067
984	0.01678400037
985	0.01677118993
986	0.01674957805
987	0.01673189686
988	0.01670248763
989	0.01667701514
990	0.01666215214
991	0.01663656332
992	0.01661084526
993	0.0165933569
994	0.01656570835
995	0.01655561415
996	0.01654238851
997	0.01652200793
998	0.01650208131
999	0.01648050576
