angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14,angle_15,angle_16,angle_17,angle_18,angle_19,angle_20,angle_21,angle_22,angle_23,angle_24,angle_25,angle_26,angle_27,angle_28,angle_29,label,,,,,,,,,
37.03198211425711,7.302922347223541,16.276544294664408,26.830181396884914,7.039245783849654,5.625821401791249,9.823625783126573,3.5907331049544347,4.021275908341203,6.266694987854763,4.621308756468639,3.7925226194529986,18.05813480057115,3.6864124385514616,1.0948465440972968,50.33252562539717,15.695864676027616,13.296259066825037,157.1067211485786,61.68509841377394,72.10530495515168,146.68211258711415,65.13938666,73.78182209164538,136.2780401535121,60.89701511557345,80.13526785878614,121.68716562323327,63.24445511,53.474297607810605,ask,,,,,,,,,
35.084310658759485,8.715993542091246,12.160049192569621,26.24092614466812,7.543930865246709,6.531540413499605,9.61778344,5.377973840078327,5.679878505,4.9916540431498415,4.7256357438850705,3.827142816926951,17.777662258243105,4.043935596292895,0.5124941617469988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ask,,,,,,,,,
36.93315837532852,8.247793812789464,15.308216638765986,28.24518942642553,6.621720576737096,4.876275091806933,11.369479913996434,2.8995311687985894,3.9486908790992206,5.0845710887093105,3.034473954102585,3.2320218195131662,18.189409292308493,3.8523780785939934,0.5488243666119548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ask,,,,,,,,,
37.40980152,6.959368471244582,15.558221650072207,28.352401848601783,7.015564909532998,5.5921040603708105,11.50570715472642,3.957742297388987,4.733792609661413,4.974613985805304,5.108875996668723,4.413811963027968,17.713294747244255,4.930194589806719,2.3896833292026933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ask,,,,,,,,,
37.75050686569087,8.854784245,14.128849191448495,27.278837017487202,7.268794034071845,5.114724379499592,10.904459910867162,3.5034355808477238,4.788007650032038,5.131695360504963,3.7542835267535737,4.515019664028291,18.517089064309506,3.571805998832661,1.6538369036342615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ask,,,,,,,,,
36.30895857550275,7.683080979049837,12.928039397419674,27.255527506569667,7.286894356994723,5.907467483780069,9.786903483656111,4.834107893130003,3.937760934788425,5.002428789867638,3.8188863004132116,2.2235221059009214,17.22110182258033,3.3322979549847864,0.021355410487803726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ask,,,,,,,,,
35.75554290111621,7.446379226910631,14.966351836252924,27.400023086002328,6.9977660668669985,5.150629229552361,10.99043310706126,4.2952665540030415,3.165088997237761,3.6950632188721726,3.6835941041564335,2.150504407870854,16.33281285620029,2.900368866363898,0.8405920551320109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ask,,,,,,,,,
36.84352740130577,8.302364026615663,12.607693740330756,27.336187544125476,7.784924557795483,6.800160745255923,10.698059623556997,5.276331758960052,5.2351414681685675,4.065114855626802,4.717714201059792,3.221862986800324,16.915865020071696,3.908534146229533,0.5678893857704559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ask,,,,,,,,,
36.94476664671602,6.610545399504385,18.551825644501413,29.721738558842322,6.785997190807357,7.847673604789287,12.892663787409928,2.944606822,5.2121442027669165,3.321974230612957,2.608527258,2.722872849407096,16.267216160704038,1.2978389718619807,1.1448741623972665,49.90150644205553,17.739538619680225,14.32628830373087,158.1577221348208,66.46393804574066,64.30426696689807,147.38314364675787,69.50220629,62.020318677115775,136.9173984330298,64.65515741703348,69.66118313301746,123.39172683720653,62.07427250599553,50.28238652637412,ask,,,,,,,,,
37.37524023571483,7.101220634631881,17.114032581461537,30.103906484964774,6.685698913,6.780709457,13.288664064166209,2.8982910404838873,4.3052564540142475,3.211746428598371,3.348796044160727,3.298318376978676,14.48428258367429,2.1547875821754987,0.29525599694873333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ask,,,,,,,,,
